"","place","room_type","price","neighbourhood_cleansed","minimum_nights"
"159","Antwerp","Entire home/apt",241,"Amandus - Atheneum",1
"160","Antwerp","Private room",259,"Deurne Zuid Oost",1
"161","Antwerp","Entire home/apt",182,"Linkeroever",36
"162","Antwerp","Entire home/apt",191,"Zuid",2
"163","Antwerp","Entire home/apt",234,"Historisch Centrum",1
"164","Antwerp","Entire home/apt",275,"Theaterbuurt-Meir",2
"165","Antwerp","Entire home/apt",138,"Zurenborg",10
"166","Antwerp","Entire home/apt",207,"Groenenhoek",3
"167","Antwerp","Entire home/apt",132,"Borgerhout Intra Muros Zuid",2
"168","Antwerp","Entire home/apt",286,"Sint-Andries",25
"169","Antwerp","Entire home/apt",225,"Hoboken - Centrum",2
"170","Antwerp","Entire home/apt",243,"Eilandje",6
"171","Antwerp","Entire home/apt",281,"Historisch Centrum",2
"172","Antwerp","Entire home/apt",30,"Historisch Centrum",2
"173","Antwerp","Shared room",281,"Universiteitsbuurt",1
"174","Antwerp","Private room",241,"Universiteitsbuurt",2
"175","Antwerp","Entire home/apt",234,"Borgerhout Intra Muros Noord",2
"176","Antwerp","Entire home/apt",243,"Oud - Berchem",1
"177","Antwerp","Entire home/apt",263,"Oud - Berchem",2
"178","Antwerp","Entire home/apt",289,"Sint-Andries",2
"179","Antwerp","Entire home/apt",259,"Borgerhout Intra Muros Zuid",1
"180","Antwerp","Entire home/apt",272,"Deurne Zuid Oost",1
"181","Antwerp","Entire home/apt",275,"Zuid",3
"182","Antwerp","Entire home/apt",289,"Eilandje",3
"183","Antwerp","Entire home/apt",299,"Theaterbuurt-Meir",1
"184","Antwerp","Private room",266,"Stuivenberg",2
"185","Antwerp","Entire home/apt",299,"Theaterbuurt-Meir",1
"186","Antwerp","Entire home/apt",289,"Stadspark",1
"187","Antwerp","Entire home/apt",248,"Theaterbuurt-Meir",1
"188","Antwerp","Entire home/apt",266,"Kiel",1
"189","Antwerp","Entire home/apt",33,"Historisch Centrum",3
"190","Antwerp","Entire home/apt",50,"Deurne Oost",1
"191","Antwerp","Private room",106,"Brederode",10
"192","Antwerp","Entire home/apt",266,"Harmonie",3
"193","Antwerp","Entire home/apt",30,"Theaterbuurt-Meir",2
"194","Antwerp","Entire home/apt",249,"Amandus - Atheneum",2
"195","Antwerp","Private room",162,"Deurne Oost",7
"196","Antwerp","Entire home/apt",132,"Oud - Berchem",2
"197","Antwerp","Private room",162,"Theaterbuurt-Meir",2
"198","Antwerp","Entire home/apt",249,"Eilandje",2
"199","Antwerp","Private room",225,"Borgerhout Intra Muros Zuid",1
"200","Antwerp","Entire home/apt",266,"Zuid",2
"201","Antwerp","Entire home/apt",275,"Amandus - Atheneum",2
"202","Antwerp","Private room",25,"Stuivenberg",1
